INFO:sentence_transformers.SentenceTransformer:Load pretrained SentenceTransformer: BAAI/bge-large-zh-v1.5
INFO:sentence_transformers.SentenceTransformer:Use pytorch device: cuda
INFO:root:Training steps:20148, warmup steps:4029, steps per epoch:None
INFO:root:WARNING: ran out of memory,times: 103, batch size: 8
INFO:root:WARNING: ran out of memory,times: 104, batch size: 8
INFO:root:WARNING: ran out of memory,times: 105, batch size: 8
INFO:root:WARNING: ran out of memory,times: 106, batch size: 8
INFO:root:WARNING: ran out of memory,times: 107, batch size: 8
INFO:root:WARNING: ran out of memory,times: 108, batch size: 8
INFO:root:WARNING: ran out of memory,times: 109, batch size: 8
INFO:root:WARNING: ran out of memory,times: 110, batch size: 8
INFO:root:WARNING: ran out of memory,times: 111, batch size: 8
INFO:root:WARNING: ran out of memory,times: 112, batch size: 8
INFO:root:WARNING: ran out of memory,times: 113, batch size: 8
INFO:root:WARNING: ran out of memory,times: 114, batch size: 8
INFO:root:WARNING: ran out of memory,times: 115, batch size: 8
INFO:root:WARNING: ran out of memory,times: 116, batch size: 8
INFO:root:WARNING: ran out of memory,times: 117, batch size: 8
INFO:root:WARNING: ran out of memory,times: 118, batch size: 8
INFO:root:WARNING: ran out of memory,times: 119, batch size: 8
INFO:root:WARNING: ran out of memory,times: 120, batch size: 8
INFO:root:WARNING: ran out of memory,times: 121, batch size: 8
INFO:root:WARNING: ran out of memory,times: 122, batch size: 8
INFO:root:WARNING: ran out of memory,times: 123, batch size: 8
INFO:root:WARNING: ran out of memory,times: 124, batch size: 8
INFO:root:WARNING: ran out of memory,times: 125, batch size: 8
INFO:root:WARNING: ran out of memory,times: 126, batch size: 8
INFO:root:WARNING: ran out of memory,times: 127, batch size: 8
INFO:root:WARNING: ran out of memory,times: 128, batch size: 8
INFO:root:WARNING: ran out of memory,times: 129, batch size: 8
INFO:root:WARNING: ran out of memory,times: 130, batch size: 8
INFO:root:WARNING: ran out of memory,times: 131, batch size: 8
INFO:root:WARNING: ran out of memory,times: 132, batch size: 8
INFO:root:WARNING: ran out of memory,times: 133, batch size: 8
INFO:root:WARNING: ran out of memory,times: 134, batch size: 8
INFO:root:WARNING: ran out of memory,times: 135, batch size: 8
INFO:root:WARNING: ran out of memory,times: 136, batch size: 8
INFO:root:WARNING: ran out of memory,times: 137, batch size: 8
INFO:root:WARNING: ran out of memory,times: 138, batch size: 8
INFO:root:WARNING: ran out of memory,times: 139, batch size: 8
INFO:root:WARNING: ran out of memory,times: 140, batch size: 8
INFO:root:WARNING: ran out of memory,times: 141, batch size: 8
INFO:root:WARNING: ran out of memory,times: 142, batch size: 8
INFO:root:WARNING: ran out of memory,times: 143, batch size: 8
INFO:root:WARNING: ran out of memory,times: 144, batch size: 8
INFO:root:WARNING: ran out of memory,times: 145, batch size: 8
INFO:root:WARNING: ran out of memory,times: 146, batch size: 8
INFO:root:WARNING: ran out of memory,times: 147, batch size: 8
INFO:root:WARNING: ran out of memory,times: 148, batch size: 8
INFO:root:WARNING: ran out of memory,times: 149, batch size: 8
INFO:root:WARNING: ran out of memory,times: 150, batch size: 8
INFO:root:WARNING: ran out of memory,times: 151, batch size: 8
INFO:root:WARNING: ran out of memory,times: 152, batch size: 8
INFO:root:WARNING: ran out of memory,times: 153, batch size: 8
INFO:root:WARNING: ran out of memory,times: 154, batch size: 8
INFO:root:WARNING: ran out of memory,times: 155, batch size: 8
INFO:root:WARNING: ran out of memory,times: 156, batch size: 8
INFO:root:WARNING: ran out of memory,times: 157, batch size: 8
INFO:root:WARNING: ran out of memory,times: 158, batch size: 8
INFO:root:WARNING: ran out of memory,times: 159, batch size: 8
INFO:root:WARNING: ran out of memory,times: 160, batch size: 8
INFO:root:WARNING: ran out of memory,times: 161, batch size: 8
INFO:root:WARNING: ran out of memory,times: 162, batch size: 8
INFO:root:WARNING: ran out of memory,times: 163, batch size: 8
INFO:root:WARNING: ran out of memory,times: 164, batch size: 8
INFO:root:WARNING: ran out of memory,times: 165, batch size: 8
INFO:root:WARNING: ran out of memory,times: 166, batch size: 8
INFO:root:WARNING: ran out of memory,times: 167, batch size: 8
INFO:root:WARNING: ran out of memory,times: 168, batch size: 8
INFO:root:WARNING: ran out of memory,times: 169, batch size: 8
INFO:root:WARNING: ran out of memory,times: 170, batch size: 8
INFO:root:WARNING: ran out of memory,times: 171, batch size: 8
INFO:root:WARNING: ran out of memory,times: 172, batch size: 8
INFO:root:WARNING: ran out of memory,times: 173, batch size: 8
INFO:root:WARNING: ran out of memory,times: 174, batch size: 8
INFO:root:WARNING: ran out of memory,times: 175, batch size: 8
INFO:root:WARNING: ran out of memory,times: 176, batch size: 8
INFO:root:WARNING: ran out of memory,times: 177, batch size: 8
INFO:root:WARNING: ran out of memory,times: 178, batch size: 8
INFO:root:WARNING: ran out of memory,times: 179, batch size: 8
INFO:root:WARNING: ran out of memory,times: 180, batch size: 8
INFO:root:WARNING: ran out of memory,times: 181, batch size: 8
INFO:root:WARNING: ran out of memory,times: 182, batch size: 8
INFO:root:WARNING: ran out of memory,times: 183, batch size: 8
INFO:root:WARNING: ran out of memory,times: 184, batch size: 8
INFO:root:WARNING: ran out of memory,times: 185, batch size: 8
INFO:root:WARNING: ran out of memory,times: 186, batch size: 8
INFO:root:WARNING: ran out of memory,times: 187, batch size: 8
INFO:root:WARNING: ran out of memory,times: 188, batch size: 8
INFO:root:WARNING: ran out of memory,times: 189, batch size: 8
INFO:root:WARNING: ran out of memory,times: 190, batch size: 8
INFO:root:WARNING: ran out of memory,times: 191, batch size: 8
INFO:root:WARNING: ran out of memory,times: 192, batch size: 8
INFO:root:WARNING: ran out of memory,times: 193, batch size: 8
INFO:root:WARNING: ran out of memory,times: 194, batch size: 8
INFO:root:WARNING: ran out of memory,times: 195, batch size: 8
INFO:root:WARNING: ran out of memory,times: 196, batch size: 8
INFO:root:WARNING: ran out of memory,times: 197, batch size: 8
INFO:root:WARNING: ran out of memory,times: 198, batch size: 8
INFO:root:WARNING: ran out of memory,times: 199, batch size: 8
INFO:root:WARNING: ran out of memory,times: 200, batch size: 8
INFO:root:WARNING: ran out of memory,times: 201, batch size: 8
INFO:root:WARNING: ran out of memory,times: 202, batch size: 8
INFO:root:WARNING: ran out of memory,times: 203, batch size: 8
INFO:root:WARNING: ran out of memory,times: 204, batch size: 8
INFO:root:WARNING: ran out of memory,times: 205, batch size: 8
INFO:root:WARNING: ran out of memory,times: 206, batch size: 8
INFO:root:WARNING: ran out of memory,times: 207, batch size: 8
INFO:root:WARNING: ran out of memory,times: 208, batch size: 8
INFO:root:WARNING: ran out of memory,times: 209, batch size: 8
INFO:root:WARNING: ran out of memory,times: 210, batch size: 8
INFO:root:WARNING: ran out of memory,times: 211, batch size: 8
INFO:root:WARNING: ran out of memory,times: 212, batch size: 8
INFO:root:WARNING: ran out of memory,times: 213, batch size: 8
INFO:root:WARNING: ran out of memory,times: 214, batch size: 8
INFO:root:WARNING: ran out of memory,times: 215, batch size: 8
INFO:root:WARNING: ran out of memory,times: 216, batch size: 8
INFO:root:WARNING: ran out of memory,times: 217, batch size: 8
INFO:root:WARNING: ran out of memory,times: 218, batch size: 8
INFO:root:WARNING: ran out of memory,times: 219, batch size: 8
INFO:root:WARNING: ran out of memory,times: 220, batch size: 8
INFO:root:WARNING: ran out of memory,times: 221, batch size: 8
INFO:root:WARNING: ran out of memory,times: 222, batch size: 8
INFO:root:WARNING: ran out of memory,times: 223, batch size: 8
INFO:root:WARNING: ran out of memory,times: 224, batch size: 8
INFO:root:WARNING: ran out of memory,times: 225, batch size: 8
INFO:root:WARNING: ran out of memory,times: 226, batch size: 8
INFO:root:WARNING: ran out of memory,times: 227, batch size: 8
INFO:root:WARNING: ran out of memory,times: 228, batch size: 8
INFO:root:WARNING: ran out of memory,times: 229, batch size: 8
INFO:root:WARNING: ran out of memory,times: 230, batch size: 8
INFO:root:WARNING: ran out of memory,times: 231, batch size: 8
INFO:root:WARNING: ran out of memory,times: 232, batch size: 8
INFO:root:WARNING: ran out of memory,times: 233, batch size: 8
INFO:root:WARNING: ran out of memory,times: 234, batch size: 8
INFO:root:WARNING: ran out of memory,times: 235, batch size: 8
INFO:root:WARNING: ran out of memory,times: 236, batch size: 8
INFO:root:WARNING: ran out of memory,times: 237, batch size: 8
INFO:root:WARNING: ran out of memory,times: 238, batch size: 8
INFO:root:WARNING: ran out of memory,times: 239, batch size: 8
INFO:root:WARNING: ran out of memory,times: 240, batch size: 8
INFO:root:WARNING: ran out of memory,times: 241, batch size: 8
INFO:root:WARNING: ran out of memory,times: 242, batch size: 8
INFO:root:WARNING: ran out of memory,times: 243, batch size: 8
INFO:root:WARNING: ran out of memory,times: 244, batch size: 8
INFO:root:WARNING: ran out of memory,times: 245, batch size: 8
INFO:root:WARNING: ran out of memory,times: 246, batch size: 8
INFO:root:WARNING: ran out of memory,times: 247, batch size: 8
INFO:root:WARNING: ran out of memory,times: 248, batch size: 8
INFO:root:WARNING: ran out of memory,times: 249, batch size: 8
INFO:root:WARNING: ran out of memory,times: 250, batch size: 8
INFO:root:WARNING: ran out of memory,times: 251, batch size: 8
INFO:root:WARNING: ran out of memory,times: 252, batch size: 8
INFO:root:WARNING: ran out of memory,times: 253, batch size: 8
INFO:root:WARNING: ran out of memory,times: 254, batch size: 8
INFO:root:WARNING: ran out of memory,times: 255, batch size: 8
INFO:root:WARNING: ran out of memory,times: 256, batch size: 8
INFO:root:WARNING: ran out of memory,times: 257, batch size: 8
INFO:root:WARNING: ran out of memory,times: 258, batch size: 8
INFO:root:WARNING: ran out of memory,times: 259, batch size: 8
INFO:root:WARNING: ran out of memory,times: 260, batch size: 8
INFO:root:WARNING: ran out of memory,times: 261, batch size: 8
INFO:root:WARNING: ran out of memory,times: 262, batch size: 8
INFO:root:WARNING: ran out of memory,times: 263, batch size: 8
INFO:root:WARNING: ran out of memory,times: 264, batch size: 8
INFO:root:WARNING: ran out of memory,times: 265, batch size: 8
INFO:root:WARNING: ran out of memory,times: 266, batch size: 8
